,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,price_min,price_max,number_available_in_stock,collectible,new,refurbished,unavailable,used,condition
4907,Peco,1.71,3,1.0,4.0,1.71,1.71,3,0,1,0,0,0,new
4908,Gaugemaster,7.95,1,1.0,5.0,7.95,7.95,2,0,1,0,0,0,new
4909,Hornby,5.70,13,1.0,4.6,5.7,5.7,6,0,1,0,0,0,new
4910,Apples to Pears,5.00,3,1.0,4.0,5.0,5.0,0,0,0,0,1,0,unavailable
4911,Hornby,13.46,2,1.0,5.0,13.46,13.46,3,0,1,0,0,0,new
4912,Hornby,18.69,1,1.0,5.0,18.69,18.69,3,0,1,0,0,0,new
4913,Brio,4.73,10,1.0,4.9,4.73,4.73,46,0,1,0,0,0,new
4914,Peco,11.00,1,1.0,5.0,11.0,11.0,3,0,1,0,0,0,new
4915,Kato,21.21,1,1.0,5.0,21.21,21.21,16,0,1,0,0,0,new
4916,Peco,11.95,2,1.0,5.0,11.95,11.95,0,0,0,0,1,0,unavailable
4917,Kato,11.85,1,1.0,5.0,11.85,11.85,37,0,1,0,0,0,new
4918,Hornby,2.35,26,1.0,4.4,2.35,2.35,13,0,1,0,0,0,new
4919,Gaugemaster,24.90,2,1.0,5.0,24.9,24.9,4,0,1,0,0,0,new
4920,Faller,5.50,1,1.0,5.0,5.5,5.5,7,0,1,0,0,0,new
4921,Noch,109.84,1,1.0,5.0,109.84,109.84,0,0,0,0,1,0,unavailable
4922,Noch,54.00,1,1.0,4.0,54.0,54.0,4,0,1,0,0,0,new
4923,Hornby,3.19,4,1.0,5.0,3.19,3.19,16,0,1,0,0,0,new
4924,Kato,8.23,2,1.0,5.0,8.23,8.23,19,0,1,0,0,0,new
4925,Busch,5.20,1,1.0,5.0,5.2,5.2,6,0,1,0,0,0,new
4926,Peco,3.83,3,1.0,5.0,3.83,3.83,4,0,1,0,0,0,new
4927,Kato,7.27,1,1.0,5.0,7.27,7.27,16,0,1,0,0,0,new
4928,Kato,20.67,3,1.0,5.0,20.67,20.67,27,0,1,0,0,0,new
4929,Peco,1.85,1,1.0,5.0,1.85,1.85,0,0,0,0,1,0,unavailable
4930,Busch,8.60,1,1.0,4.0,8.6,8.6,6,0,1,0,0,0,new
4931,Hornby,74.99,2,1.0,4.5,74.99,74.99,0,0,0,0,1,0,unavailable
4932,Hornby,27.49,4,1.0,4.8,27.49,27.49,7,0,1,0,0,0,new
4933,Plan Toys,7.67,1,1.0,5.0,7.67,7.67,13,0,1,0,0,0,new
4934,Knightwing,13.99,1,1.0,5.0,13.99,13.99,0,0,0,0,1,0,unavailable
4935,Lado,16.99,53,5.0,4.2,16.99,16.99,3,0,1,0,0,0,new
