,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,price_min,price_max,number_available_in_stock,collectible,new,refurbished,unavailable,used,condition
0,Hornby,3.42,15,1.0,4.9,3.42,3.42,5,0,1,0,0,0,new
1,FunkyBuys,16.99,2,1.0,4.5,16.99,16.99,0,0,0,0,1,0,unavailable
2,ccf,9.99,17,2.0,3.9,9.99,9.99,2,0,1,0,0,0,new
3,Hornby,39.99,1,2.0,5.0,39.99,39.99,0,0,0,0,1,0,unavailable
4,Hornby,32.19,3,2.0,4.7,32.19,32.19,0,0,0,0,1,0,unavailable
5,Generic,6.99,2,1.0,5.0,6.99,6.99,0,0,0,0,1,0,unavailable
6,Hornby,24.99,2,1.0,4.5,24.99,24.99,0,0,0,0,1,0,unavailable
7,Hornby,69.93,36,7.0,4.3,69.93,69.93,3,0,1,0,0,0,new
8,Hornby,235.58,1,1.0,5.0,235.58,235.58,4,0,1,0,0,0,new
9,Hornby,27.49,1,1.0,5.0,27.49,27.49,6,0,1,0,0,0,new
10,Kato (USA),273.60,1,1.0,5.0,273.6,273.6,0,0,0,0,1,0,unavailable
11,Bachmann,9.60,1,1.0,5.0,9.6,9.6,2,0,1,0,0,0,new
12,Hornby,119.50,3,1.0,5.0,119.5,119.5,2,0,1,0,0,0,new
13,Kato,17.08,1,1.0,4.0,17.08,17.08,26,0,1,0,0,0,new
14,Bachmann,96.05,1,1.0,5.0,96.05,96.05,2,0,1,0,0,0,new
15,Preiser,27.55,1,1.0,5.0,27.55,27.55,0,0,0,0,1,0,unavailable
16,Preiser,24.50,1,1.0,5.0,24.5,24.5,2,0,1,0,0,0,new
17,Bachmann,149.92,1,1.0,5.0,149.92,149.92,0,0,0,0,1,0,unavailable
18,Takara Tomy,12.87,1,1.0,5.0,12.87,12.87,37,0,1,0,0,0,new
19,Roco,49.95,1,1.0,5.0,49.95,49.95,0,0,0,0,1,0,unavailable
20,Takara Tomy,14.44,1,1.0,5.0,14.44,14.44,35,0,1,0,0,0,new
21,Gaugemaster,5.95,5,1.0,4.8,5.95,5.95,0,0,0,0,1,0,unavailable
22,Hornby,139.95,1,1.0,5.0,139.95,139.95,3,0,1,0,0,0,new
23,Fisher-Price,19.99,3,1.0,5.0,19.99,19.99,0,0,0,0,1,0,unavailable
24,Faller,25.50,1,1.0,4.0,25.5,25.5,4,0,1,0,0,0,new
25,Bachmann,99.95,2,1.0,4.5,99.95,99.95,2,0,1,0,0,0,new
26,Kato,49.33,2,1.0,5.0,49.33,49.33,22,0,1,0,0,0,new
27,Hornby,82.31,19,1.0,4.2,82.31,82.31,11,0,1,0,0,0,new
28,Dapol,14.99,1,1.0,5.0,14.99,14.99,0,0,0,0,1,0,unavailable
29,Hornby,69.99,17,1.0,4.8,69.99,69.99,11,0,1,0,0,0,new
30,Ratio,3.40,1,1.0,5.0,3.4,3.4,0,0,0,0,1,0,unavailable
31,Kato,50.81,1,1.0,5.0,50.81,50.81,16,0,1,0,0,0,new
32,ARSUK,4.99,1,1.0,4.0,4.99,4.99,0,0,0,0,1,0,unavailable
33,Trix,36.51,1,1.0,5.0,36.51,36.51,0,0,0,0,1,0,unavailable
34,Dapol,14.99,1,1.0,5.0,14.99,14.99,2,0,1,0,0,0,new
35,Takara Tomy,11.58,1,1.0,5.0,11.58,11.58,31,0,1,0,0,0,new
36,Hornby,79.95,53,2.0,4.6,79.95,79.95,9,0,1,0,0,0,new
37,RAILWAY - BACHMANN,135.00,3,2.0,4.7,135.0,135.0,0,0,0,0,1,0,unavailable
38,Kato,42.98,1,1.0,5.0,42.98,42.98,29,0,1,0,0,0,new
39,Busch,50.01,1,1.0,5.0,50.01,50.01,0,0,0,0,1,0,unavailable
40,Piko,34.95,1,1.0,5.0,34.95,34.95,0,0,0,0,1,0,unavailable
41,Hornby,28.99,5,1.0,4.6,28.99,28.99,6,0,1,0,0,0,new
42,Corgi,59.99,4,1.0,4.8,59.99,59.99,5,0,1,0,0,0,new
43,Bachmann,96.00,1,1.0,5.0,96.0,96.0,2,0,1,0,0,0,new
44,Kato,35.20,1,1.0,5.0,35.2,35.2,2,0,1,0,0,0,new
45,Gaugemaster,39.03,6,1.0,4.8,39.03,39.03,3,0,1,0,0,0,new
46,Dapol,15.25,1,1.0,5.0,15.25,15.25,0,0,0,0,1,0,unavailable
47,Sohni-Wicke,167.10,1,1.0,5.0,167.1,167.1,0,0,0,0,1,0,unavailable
48,Hornby,98.50,6,1.0,4.7,98.5,98.5,9,0,1,0,0,0,new
49,Piko,19.95,1,1.0,5.0,19.95,19.95,0,0,0,0,1,0,unavailable
50,Train Tech,35.00,3,1.0,4.3,35.0,35.0,0,0,0,0,1,0,unavailable
51,Kato,51.61,1,1.0,5.0,51.61,51.61,33,0,1,0,0,0,new
52,Hornby,30.99,38,1.0,4.6,30.99,30.99,7,0,1,0,0,0,new
53,Roco,6.50,3,1.0,4.7,6.5,6.5,2,0,1,0,0,0,new
54,CATO,45.75,1,1.0,5.0,45.75,45.75,13,0,1,0,0,0,new
55,Dapol,74.60,7,1.0,4.6,74.6,74.6,4,0,1,0,0,0,new
56,Hornby,74.99,4,1.0,4.8,74.99,74.99,3,0,1,0,0,0,new
57,POWER CITY TRAINS,76.99,0,1.0,0.0,76.99,76.99,2,0,1,0,0,0,new
58,Train,27.60,1,1.0,5.0,27.6,27.6,19,0,1,0,0,0,new
59,Train Tech,8.00,1,1.0,5.0,8.0,8.0,0,0,0,0,1,0,unavailable
60,Kato,11.01,3,1.0,5.0,11.01,11.01,27,0,1,0,0,0,new
61,Bachmann,100.00,1,1.0,4.0,100.0,100.0,2,0,1,0,0,0,new
62,Piko,177.99,1,1.0,5.0,177.99,177.99,0,0,0,0,1,0,unavailable
63,Dapol,10.20,3,1.0,4.0,10.2,10.2,0,0,0,0,1,0,unavailable
64,Ratio,22.25,1,1.0,5.0,22.25,22.25,0,0,0,0,1,0,unavailable
65,Piko,15.75,1,1.0,5.0,15.75,15.75,3,0,1,0,0,0,new
66,Hornby,89.99,1,1.0,5.0,89.99,89.99,3,0,1,0,0,0,new
67,Sales La,5.99,3,1.0,4.0,5.99,5.99,0,0,0,0,1,0,unavailable
68,Dapol,12.30,1,1.0,4.0,12.3,12.3,2,0,1,0,0,0,new
69,Corgi,14.99,6,1.0,5.0,14.99,14.99,12,0,1,0,0,0,new
70,Märklin my world,7.99,1,1.0,5.0,7.99,7.99,10,0,1,0,0,0,new
71,Bachmann,104.66,2,1.0,5.0,104.66,104.66,4,0,1,0,0,0,new
72,Mattel,13.87,1,1.0,5.0,13.87,13.87,6,0,1,0,0,0,new
73,Generic,2.98,4,1.0,5.0,2.98,2.98,6,0,1,0,0,0,new
74,Hornby,60.25,2,1.0,5.0,60.25,60.25,0,0,0,0,1,0,unavailable
75,Hornby,129.95,9,1.0,4.2,129.95,129.95,3,0,1,0,0,0,new
76,Hornby,119.99,1,1.0,5.0,119.99,119.99,0,0,0,0,1,0,unavailable
77,Hornby,65.76,1,1.0,5.0,65.76,65.76,9,0,1,0,0,0,new
78,Graham Farish,26.50,1,1.0,4.0,26.5,26.5,0,0,0,0,1,0,unavailable
79,RAILWAY - BACHMANN,29.99,1,1.0,5.0,29.99,29.99,0,0,0,0,1,0,unavailable
80,Hornby,116.10,1,1.0,5.0,116.1,116.1,5,0,1,0,0,0,new
81,Ratio,11.00,1,1.0,5.0,11.0,11.0,0,0,0,0,1,0,unavailable
82,Hornby,89.99,1,1.0,5.0,89.99,89.99,2,0,1,0,0,0,new
83,Power Trains,8.99,1,1.0,5.0,8.99,8.99,3,0,1,0,0,0,new
84,Carousel,36.35,8,1.0,4.1,36.35,36.35,5,0,1,0,0,0,new
85,Hornby,27.99,5,1.0,4.8,27.99,27.99,0,0,0,0,1,0,unavailable
86,Piko,20.00,1,1.0,5.0,20.0,20.0,0,0,0,0,1,0,unavailable
87,Hornby,105.00,1,1.0,5.0,105.0,105.0,2,0,1,0,0,0,new
88,Trix,27.40,1,1.0,5.0,27.4,27.4,0,0,0,0,1,0,unavailable
89,Peptim Scenics,3.95,1,1.0,4.0,3.95,3.95,0,0,0,0,1,0,unavailable
90,Walthers Trainline,15.00,1,1.0,5.0,15.0,15.0,2,0,1,0,0,0,new
91,Preiser,137.16,1,1.0,5.0,137.16,137.16,0,0,0,0,1,0,unavailable
92,Kato,163.88,1,1.0,5.0,163.88,163.88,5,0,1,0,0,0,new
93,Woodland Scenics,14.57,1,1.0,5.0,14.57,14.57,6,0,1,0,0,0,new
94,Hornby,21.95,4,1.0,4.8,21.95,21.95,6,0,1,0,0,0,new
95,Hornby,49.99,18,1.0,4.6,49.99,49.99,4,0,1,0,0,0,new
96,Ratio,10.69,2,1.0,5.0,10.69,10.69,2,0,1,0,0,0,new
97,Roco,49.95,1,1.0,5.0,49.95,49.95,0,0,0,0,1,0,unavailable
98,Kato,70.50,2,1.0,5.0,70.5,70.5,19,0,1,0,0,0,new
99,RAILWAY - BACHMANN,33.99,1,1.0,4.0,33.99,33.99,2,0,1,0,0,0,new
100,Kato,20.31,2,1.0,5.0,20.31,20.31,35,0,1,0,0,0,new
101,Peco,1.95,2,1.0,4.5,1.95,1.95,5,0,1,0,0,0,new
102,Hornby,79.95,17,1.0,4.4,79.95,79.95,7,0,1,0,0,0,new
103,Hornby,19.95,1,1.0,4.0,19.95,19.95,3,0,1,0,0,0,new
104,ARSUK,5.70,2,1.0,4.5,5.7,5.7,2,0,1,0,0,0,new
105,Dapol,9.65,1,1.0,5.0,9.65,9.65,4,0,1,0,0,0,new
106,Hornby,141.23,5,1.0,4.4,141.23,141.23,9,0,1,0,0,0,new
107,Corgi,83.04,1,1.0,5.0,83.04,83.04,7,0,1,0,0,0,new
108,Power Trains,21.95,1,1.0,5.0,21.95,21.95,3,0,1,0,0,0,new
109,Fisher Price,16.50,5,1.0,5.0,16.5,16.5,2,0,1,0,0,0,new
110,Hornby,18.99,1,1.0,4.0,18.99,18.99,6,0,1,0,0,0,new
111,Kato,11.04,2,,5.0,11.04,11.04,39,0,1,0,0,0,new
112,Generic,4.99,1,2.0,5.0,4.99,4.99,0,0,0,0,1,0,unavailable
113,Dapol,22.50,1,2.0,5.0,22.5,22.5,0,0,0,0,1,0,unavailable
114,Hornby,18.12,1,2.0,5.0,18.12,18.12,6,0,1,0,0,0,new
115,Hornby,169.99,1,2.0,4.0,169.99,169.99,3,0,1,0,0,0,new
116,Hornby,63.99,97,2.0,4.4,63.99,63.99,18,0,1,0,0,0,new
117,Bachmann,104.71,2,2.0,4.5,104.71,104.71,4,0,1,0,0,0,new
118,Faller,82.76,5,2.0,4.0,82.76,82.76,5,0,1,0,0,0,new
119,Power Trains,22.95,1,2.0,5.0,22.95,22.95,2,0,1,0,0,0,new
120,Hornby,166.04,1,2.0,5.0,166.04,166.04,0,0,0,0,1,0,unavailable
121,Jouef,37.09,1,2.0,5.0,37.09,37.09,0,0,0,0,1,0,unavailable
122,Bachmann,124.93,1,2.0,5.0,124.93,124.93,0,0,0,0,1,0,unavailable
123,Bachmann,12.00,1,2.0,5.0,12.0,12.0,2,0,1,0,0,0,new
124,Trix,41.87,1,2.0,5.0,41.87,41.87,0,0,0,0,1,0,unavailable
125,RAILWAY - BACHMANN,28.98,1,2.0,5.0,28.98,28.98,3,0,1,0,0,0,new
126,Preiser,20.21,1,2.0,5.0,20.21,20.21,4,0,1,0,0,0,new
127,Takara Tomy,11.08,1,2.0,5.0,11.08,11.08,38,0,1,0,0,0,new
128,Corgi,32.70,5,2.0,5.0,32.7,32.7,4,0,1,0,0,0,new
129,Hornby,51.53,1,2.0,5.0,51.53,51.53,4,0,1,0,0,0,new
130,Plan Toys,15.83,1,2.0,5.0,15.83,15.83,8,0,1,0,0,0,new
131,Hornby,107.99,2,2.0,5.0,107.99,107.99,0,0,0,0,1,0,unavailable
132,Dapol,11.95,4,2.0,4.3,11.95,11.95,4,0,1,0,0,0,new
133,Dapol,100.00,1,2.0,4.0,100.0,100.0,2,0,1,0,0,0,new
134,Bandai,22.58,1,2.0,5.0,22.58,22.58,9,0,1,0,0,0,new
135,Dapol,6.99,4,2.0,5.0,6.99,6.99,5,0,1,0,0,0,new
136,Atlas,4.00,1,2.0,5.0,4.0,4.0,0,0,0,0,1,0,unavailable
137,Hornby,119.50,1,2.0,5.0,119.5,119.5,2,0,1,0,0,0,new
138,Plan Toys,14.20,1,2.0,5.0,14.2,14.2,6,0,1,0,0,0,new
139,Generic,5.99,1,2.0,5.0,5.99,5.99,2,0,1,0,0,0,new
140,Corgi,64.87,9,2.0,4.9,64.87,64.87,3,0,1,0,0,0,new
141,NMIT,29.99,1,2.0,5.0,29.99,29.99,0,0,0,0,1,0,unavailable
142,RAILWAY - BACHMANN,35.95,1,2.0,4.0,35.95,35.95,0,0,0,0,1,0,unavailable
143,Hornby,108.99,67,6.0,4.2,108.99,108.99,17,0,1,0,0,0,new
144,Viessmann,16.25,1,6.0,4.0,16.25,16.25,5,0,1,0,0,0,new
145,Tommy Tech,96.95,1,6.0,5.0,96.95,96.95,10,0,1,0,0,0,new
146,Hornby,39.10,1,6.0,5.0,39.1,39.1,2,0,1,0,0,0,new
147,Model Power,14.95,2,6.0,5.0,14.95,14.95,2,0,1,0,0,0,new
148,Gaugemaster,94.88,3,6.0,4.7,94.88,94.88,2,0,1,0,0,0,new
149,Micki Leksaker,20.16,2,6.0,5.0,20.16,20.16,9,0,1,0,0,0,new
150,LELIN,17.99,1,6.0,5.0,17.99,17.99,0,0,0,0,1,0,unavailable
151,Peco,4.86,1,6.0,5.0,4.86,4.86,4,0,1,0,0,0,new
152,Hornby,119.99,2,6.0,4.0,119.99,119.99,2,0,1,0,0,0,new
153,Kato,12.31,1,6.0,5.0,12.31,12.31,34,0,1,0,0,0,new
154,Hornby,39.99,1,6.0,5.0,39.99,39.99,0,0,0,0,1,0,unavailable
155,Busch,8.50,2,6.0,5.0,8.5,8.5,4,0,1,0,0,0,new
156,Kato,18.50,2,6.0,4.5,18.5,18.5,26,0,1,0,0,0,new
157,Bachmann N Gauge,27.00,1,6.0,5.0,27.0,27.0,0,0,0,0,1,0,unavailable
158,Märklin,11.71,1,6.0,5.0,11.71,11.71,6,0,1,0,0,0,new
159,Hornby,29.99,5,6.0,4.0,29.99,29.99,6,0,1,0,0,0,new
160,Kato,538.73,1,6.0,5.0,538.73,538.73,0,0,0,0,1,0,unavailable
161,Hornby,41.67,1,6.0,5.0,41.67,41.67,3,0,1,0,0,0,new
162,Kato,78.49,1,6.0,5.0,78.49,78.49,12,0,1,0,0,0,new
163,Hornby,19.95,1,6.0,4.0,19.95,19.95,3,0,1,0,0,0,new
164,Bigjigs Rail,2.49,81,6.0,4.5,2.49,2.49,3,0,1,0,0,0,new
165,Hornby,3.03,10,6.0,4.8,3.03,3.03,19,0,1,0,0,0,new
166,Trains,79.95,1,1.0,4.0,79.95,79.95,4,0,1,0,0,0,new
167,Kato,21.66,1,1.0,5.0,21.66,21.66,30,0,1,0,0,0,new
168,Smasha-Ballz,15.84,23,,4.4,15.84,15.84,6,0,1,0,0,0,new
169,Moomins,7.29,1,,5.0,7.29,7.29,2,0,1,0,0,0,new
170,Paddington Bear,14.60,41,,4.5,14.6,14.6,21,0,1,0,0,0,new
171,Charlie Bears,59.90,1,,5.0,59.9,59.9,3,0,1,0,0,0,new
172,Yoohoo & Friends,6.95,1,,5.0,6.95,6.95,2,0,1,0,0,0,new
173,Monchhichi,59.99,1,,5.0,59.99,59.99,3,0,1,0,0,0,new
174,Aurora,5.99,5,,5.0,5.99,5.99,5,0,1,0,0,0,new
175,The Puppet Company,3.50,2,,4.5,3.5,3.5,0,0,0,0,1,0,unavailable
176,Henry Hugglemonster,2.00,11,,4.5,2.0,2.0,19,0,1,0,0,0,new
177,Melissa & Doug,4.99,1,,5.0,4.99,4.99,6,0,1,0,0,0,new
178,Animal Babies,17.99,16,,4.0,17.99,17.99,10,0,1,0,0,0,new
179,Olympic Mascots,8.00,4,,4.0,8.0,8.0,2,0,1,0,0,0,new
180,Aurora,7.94,36,,4.6,7.94,7.94,17,0,1,0,0,0,new
181,Suma Collection,12.44,2,,5.0,12.44,12.44,0,0,0,0,1,0,unavailable
182,Whitehouse Leisure,5.50,1,,5.0,5.5,5.5,4,0,1,0,0,0,new
183,Me To You,0.85,1,,4.0,0.85,0.85,0,0,0,0,1,0,unavailable
184,Marvel,29.99,6,1.0,4.8,29.99,29.99,10,0,1,0,0,0,new
185,Roadkill Toys,29.99,2,1.0,5.0,29.99,29.99,0,0,0,0,1,0,unavailable
186,Talking Friends,23.97,1,1.0,5.0,23.97,23.97,3,0,1,0,0,0,new
187,Ty,4.63,1,1.0,4.0,4.63,4.63,17,0,1,0,0,0,new
188,Aurora,8.87,45,1.0,4.7,8.87,8.87,14,0,1,0,0,0,new
189,Unknown,23.97,2,1.0,5.0,23.97,23.97,5,0,1,0,0,0,new
190,L'Atitude,22.89,0,1.0,0.0,22.89,22.89,4,0,1,0,0,0,new
191,Teddy Mountain,7.60,4,1.0,5.0,7.6,7.6,3,0,1,0,0,0,new
192,TY~BEANIE BEARS,11.94,1,1.0,4.0,11.94,11.94,3,0,1,0,0,0,new
193,Pokemon Center,14.69,1,1.0,5.0,14.69,14.69,32,0,1,0,0,0,new
194,Webkinz,8.99,1,1.0,5.0,8.99,8.99,2,0,1,0,0,0,new
195,Banpresto,71.15,1,1.0,4.0,71.15,71.15,0,0,0,0,1,0,unavailable
196,Ty UK Ltd,5.99,32,1.0,4.8,5.99,5.99,19,0,1,0,0,0,new
197,ENESCO,6.99,2,1.0,5.0,6.99,6.99,5,0,1,0,0,0,new
198,Star Wars,22.99,3,1.0,5.0,22.99,22.99,9,0,1,0,0,0,new
199,Squishable,19.99,1,1.0,5.0,19.99,19.99,0,0,0,0,1,0,unavailable
200,TheWorks,12.95,27,1.0,4.8,12.95,12.95,3,0,1,0,0,0,new
201,Webkinz,7.99,2,1.0,4.5,7.99,7.99,4,0,1,0,0,0,new
202,Living Nature,12.40,40,2.0,4.7,12.4,12.4,12,0,1,0,0,0,new
203,Ben & Holly,6.99,4,2.0,4.3,6.99,6.99,9,0,1,0,0,0,new
204,Paw Patrol,4.78,2,2.0,5.0,4.78,4.78,3,0,1,0,0,0,new
205,Cepia,11.95,7,2.0,4.1,11.95,11.95,4,0,1,0,0,0,new
206,Me To You,8.00,1,2.0,5.0,8.0,8.0,6,0,1,0,0,0,new
207,Webkinz,7.99,2,2.0,5.0,7.99,7.99,3,0,1,0,0,0,new
208,Claire's,7.00,1,2.0,5.0,7.0,7.0,0,0,0,0,1,0,unavailable
209,Me To You,5.00,13,2.0,4.8,5.0,5.0,8,0,1,0,0,0,new
210,ukgiftstoreonline,9.99,1,2.0,5.0,9.99,9.99,2,0,1,0,0,0,new
211,White Lab Mouse,6.82,1,2.0,5.0,6.82,6.82,2,0,1,0,0,0,new
212,Me To You,7.95,6,2.0,5.0,7.95,7.95,6,0,1,0,0,0,new
213,Lil Kinz,6.99,1,2.0,5.0,6.99,6.99,5,0,1,0,0,0,new
214,Aurora,7.19,2,2.0,4.0,7.19,7.19,8,0,1,0,0,0,new
215,Steiff,27.00,13,2.0,4.4,27.0,27.0,20,0,1,0,0,0,new
216,Hansa,22.99,1,2.0,5.0,22.99,22.99,2,0,1,0,0,0,new
217,TY~BEANIES ANIMALS,9.45,2,2.0,4.5,9.45,9.45,9,0,1,0,0,0,new
218,Steiff,15.99,35,1.0,4.4,15.99,15.99,18,0,1,0,0,0,new
219,Ty,8.80,2,1.0,4.5,8.8,8.8,16,0,1,0,0,0,new
220,Ty,7.69,2,1.0,5.0,7.69,7.69,26,0,1,0,0,0,new
221,Warmhearts Fully Microwavable,10.95,29,1.0,4.7,10.95,10.95,9,0,1,0,0,0,new
222,Shopzeus,13.99,1,1.0,5.0,13.99,13.99,0,0,0,0,1,0,unavailable
223,Keel Toys,14.99,5,1.0,4.4,14.99,14.99,2,0,1,0,0,0,new
224,Beanie Boos,5.99,9,1.0,4.7,5.99,5.99,43,0,1,0,0,0,new
225,Doodle Jump,9.99,1,1.0,5.0,9.99,9.99,3,0,1,0,0,0,new
226,Pokémon,11.58,1,1.0,5.0,11.58,11.58,21,0,1,0,0,0,new
227,My Blue Nose Friends,4.97,5,1.0,4.8,4.97,4.97,15,0,1,0,0,0,new
228,ty beanie,16.99,1,1.0,5.0,16.99,16.99,4,0,1,0,0,0,new
229,Pokémon,11.99,1,1.0,5.0,11.99,11.99,2,0,1,0,0,0,new
230,Ty,17.95,1,1.0,5.0,17.95,17.95,4,0,1,0,0,0,new
231,Little Buddy,17.71,1,1.0,5.0,17.71,17.71,15,0,1,0,0,0,new
232,Steiff,57.89,2,1.0,5.0,57.89,57.89,9,0,1,0,0,0,new
233,Ravensden,9.85,3,1.0,5.0,9.85,9.85,0,0,0,0,1,0,unavailable
234,IBTT,16.68,4,1.0,4.8,16.68,16.68,7,0,1,0,0,0,new
235,Melissa & Doug,16.99,120,2.0,4.8,16.99,16.99,10,0,1,0,0,0,new
236,Shopzeus,7.99,1,2.0,5.0,7.99,7.99,0,0,0,0,1,0,unavailable
237,Keel Toys,79.68,3,1.0,5.0,79.68,79.68,5,0,1,0,0,0,new
238,Yoo Hoo,6.99,1,1.0,5.0,6.99,6.99,4,0,1,0,0,0,new
239,Little Buddy,17.99,3,1.0,4.7,17.99,17.99,15,0,1,0,0,0,new
240,TY~COUNTRY EXCLUSIVES,9.95,2,1.0,4.5,9.95,9.95,6,0,1,0,0,0,new
241,Fisher-Price,21.79,1,1.0,5.0,21.79,21.79,3,0,1,0,0,0,new
242,Build your Bears Wardrobe,19.99,3,1.0,5.0,19.99,19.99,2,0,1,0,0,0,new
243,ThinkGeek,23.50,33,1.0,4.3,23.5,23.5,14,0,1,0,0,0,new
244,Sanei,25.99,4,1.0,5.0,25.99,25.99,12,0,1,0,0,0,new
245,"Minnie Mouse, Mad about Minnie",7.90,8,1.0,4.8,7.9,7.9,4,0,1,0,0,0,new
246,Plants vs Zombies,14.99,1,1.0,5.0,14.99,14.99,0,0,0,0,1,0,unavailable
247,Beanie Boos,9.10,3,1.0,5.0,9.1,9.1,25,0,1,0,0,0,new
248,London Teddy Bears,16.95,1,1.0,5.0,16.95,16.95,0,0,0,0,1,0,unavailable
249,PTS,24.04,6,1.0,4.7,24.04,24.04,3,0,1,0,0,0,new
250,TY~BEANIES CATS,14.95,1,1.0,5.0,14.95,14.95,3,0,1,0,0,0,new
251,Dowman,8.49,26,1.0,4.4,8.49,8.49,8,0,1,0,0,0,new
252,Hansa,14.99,2,1.0,5.0,14.99,14.99,11,0,1,0,0,0,new
253,Be My Bear,3.99,1,1.0,5.0,3.99,3.99,0,0,0,0,1,0,unavailable
254,Titan Merchandise,10.95,2,1.0,4.5,10.95,10.95,0,0,0,0,1,0,unavailable
255,Steiff,35.71,6,1.0,5.0,35.71,35.71,11,0,1,0,0,0,new
256,Beanie Babies,10.85,2,1.0,4.5,10.85,10.85,4,0,1,0,0,0,new
257,TY~BEANIES DOGS,14.95,1,1.0,4.0,14.95,14.95,2,0,1,0,0,0,new
258,Steiff,47.99,38,5.0,4.9,47.99,47.99,17,0,1,0,0,0,new
259,TY~BEANIES DOGS,10.95,1,5.0,4.0,10.95,10.95,7,0,1,0,0,0,new
260,Zigamazoo,8.99,8,5.0,4.3,8.99,8.99,10,0,1,0,0,0,new
261,Keel Toys,8.65,15,1.0,4.6,8.65,8.65,15,0,1,0,0,0,new
262,Disney,19.99,1,1.0,5.0,19.99,19.99,2,0,1,0,0,0,new
263,Manhattan Toy,12.99,3,1.0,4.3,12.99,12.99,4,0,1,0,0,0,new
264,Charlie Bears,37.01,2,1.0,4.5,37.01,37.01,0,0,0,0,1,0,unavailable
265,Sun Arrow,31.46,1,1.0,5.0,31.46,31.46,15,0,1,0,0,0,new
266,Beanies,16.95,4,1.0,5.0,16.95,16.95,0,0,0,0,1,0,unavailable
267,Keel Toys,8.44,24,1.0,4.8,8.44,8.44,21,0,1,0,0,0,new
268,Miyoni,11.23,1,1.0,5.0,11.23,11.23,6,0,1,0,0,0,new
269,Generic,10.62,1,1.0,4.0,10.62,10.62,2,0,1,0,0,0,new
270,Me To You,14.99,5,1.0,5.0,14.99,14.99,4,0,1,0,0,0,new
271,Ravensden,10.98,1,1.0,5.0,10.98,10.98,2,0,1,0,0,0,new
272,Jazwares,32.88,1,1.0,5.0,32.88,32.88,2,0,1,0,0,0,new
273,"PILLOW PET 1 DIRECTION PINK PUPPY 18""",6.25,17,1.0,4.9,6.25,6.25,6,0,1,0,0,0,new
274,GE Entertainment,11.78,5,1.0,5.0,11.78,11.78,15,0,1,0,0,0,new
275,Manhattan Toy,14.06,2,1.0,5.0,14.06,14.06,6,0,1,0,0,0,new
276,Personalised Bears and Rag Dolls,9.99,1,1.0,5.0,9.99,9.99,0,0,0,0,1,0,unavailable
277,Yao,8.76,2,1.0,4.0,8.76,8.76,0,0,0,0,1,0,unavailable
278,Ty,80.60,1,1.0,5.0,80.6,80.6,2,0,1,0,0,0,new
279,Beanie Babies,10.87,1,1.0,5.0,10.87,10.87,14,0,1,0,0,0,new
280,Jelly Cat,29.59,11,1.0,4.8,29.59,29.59,7,0,1,0,0,0,new
281,FunKo,58.15,1,1.0,5.0,58.15,58.15,0,0,0,0,1,0,unavailable
282,Smasha-Ballz,4.99,5,1.0,4.4,4.99,4.99,4,0,1,0,0,0,new
283,Aurora My Little Pony,44.99,4,1.0,5.0,44.99,44.99,2,0,1,0,0,0,new
284,Charlie Bears,37.00,1,1.0,5.0,37.0,37.0,9,0,1,0,0,0,new
285,Gund,18.23,6,1.0,4.7,18.23,18.23,4,0,1,0,0,0,new
286,Dempsey Designs Minicraft,5.99,1,1.0,5.0,5.99,5.99,3,0,1,0,0,0,new
287,Ravensden,14.99,1,1.0,5.0,14.99,14.99,0,0,0,0,1,0,unavailable
288,Mickey Mouse,6.95,1,1.0,5.0,6.95,6.95,3,0,1,0,0,0,new
289,Webkinz,9.99,7,1.0,4.1,9.99,9.99,2,0,1,0,0,0,new
290,Pluto,15.05,1,1.0,5.0,15.05,15.05,6,0,1,0,0,0,new
291,Shopzeus,13.99,1,1.0,5.0,13.99,13.99,0,0,0,0,1,0,unavailable
292,Dear Zoo,29.95,4,1.0,5.0,29.95,29.95,0,0,0,0,1,0,unavailable
293,TY~HALLOWEEN BEANIES,8.95,1,1.0,5.0,8.95,8.95,4,0,1,0,0,0,new
294,TY~BEANIES CATS,9.75,3,1.0,5.0,9.75,9.75,5,0,1,0,0,0,new
295,McDonalds Happy Meal Toy,6.00,1,1.0,5.0,6.0,6.0,2,0,1,0,0,0,new
296,Pokémon,8.81,1,1.0,5.0,8.81,8.81,4,0,1,0,0,0,new
297,Soft Toy,12.99,2,1.0,4.5,12.99,12.99,0,0,0,0,1,0,unavailable
298,APC,6.99,4,1.0,4.8,6.99,6.99,0,0,0,0,1,0,unavailable
299,Me To You,6.99,6,1.0,4.5,6.99,6.99,0,0,0,0,1,0,unavailable
300,Me To You,13.84,1,1.0,4.0,13.84,13.84,0,0,0,0,1,0,unavailable
301,Glitzy Jewels,3.99,2,1.0,4.0,3.99,3.99,2,0,1,0,0,0,new
302,Sanei,18.16,13,1.0,4.3,18.16,18.16,13,0,1,0,0,0,new
303,TBEN,10.99,1,1.0,4.0,10.99,10.99,0,0,0,0,1,0,unavailable
304,Shopzeus,8.99,1,1.0,5.0,8.99,8.99,0,0,0,0,1,0,unavailable
305,Latitude Enfant,11.99,2,1.0,4.5,11.99,11.99,4,0,1,0,0,0,new
306,Apples to Pears,9.88,3,1.0,5.0,9.88,9.88,6,0,1,0,0,0,new
307,Keel Toys,7.97,85,1.0,4.8,7.97,7.97,19,0,1,0,0,0,new
